"suite","scenario","alpha_true","n","prior_delta","prior_center","method","pig_N","reps","ks_mean","ks_se","w1_mean","w1_se","ess_iter_median","ess_sec_median","acf1_mean","acf10_mean","coverage","runtime_median","runtime_p90","mean_error"
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=200",200,50,0.0136371362788011,0.000605922355714608,0.000816877861754398,6.07887578991619e-05,0.706767471379642,1256.46839390945,0.0811543880587083,5.60260480155412e-05,0.94,2.75250000000005,3.13339999999944,0.0319545357472033
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=50",50,50,0.0145903162191321,0.000646957955197992,0.000921658132218389,6.84926263763774e-05,0.693185856351856,4290.1512010464,0.0820707986414492,0.00182413985725366,0.96,0.78899999999976,1.02159999999949,0.0318769941023469
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=500",500,50,0.0149689488765892,0.000653971231245,0.000944836480328543,9.1870251624343e-05,0.690880422550153,540.539507110238,0.0773611306867469,0.00316510838831993,0.96,6.48099999999977,6.85350000000008,0.0316396429362221
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"Numerical grid",NA,50,0,0,0,0,NA,NA,NA,NA,0.9,NA,NA,0.00945273746422037
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=100",100,50,0.0136310444123529,0.00059345874755599,0.000338659642461409,2.43744772383711e-05,0.655845543364912,1334.3022072541,0.0967681106986304,-0.00272894464413473,0.9,2.43400000000019,2.87659999999996,0.009461294092567
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=1000",1000,50,0.0139547211527102,0.000637621531464216,0.000333096645276195,1.98069174092211e-05,0.655344585269007,150.540098408485,0.0989710646111482,-0.00455609118936333,0.9,21.7765,23.2273999999998,0.00949355511676532
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=200",200,50,0.0141629531873885,0.000602297394951442,0.000334827594733183,1.90680428896294e-05,0.654398859981211,689.266947655957,0.0964564343327295,-0.000615810973968523,0.9,4.74899999999979,5.09420000000019,0.00944183281790629
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=50",50,50,0.013688000126127,0.000772119460610527,0.000314003417700033,1.93112065218823e-05,0.653901020810617,2593.8504619376,0.0995283060176956,1.20900249429785e-05,0.9,1.25750000000017,1.58439999999946,0.0095062803150597
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=500",500,50,0.0132505768708137,0.000588448017217111,0.000319587934215956,1.66855681335241e-05,0.664398702448813,288.774570852479,0.0972350581082546,0.00149810190436095,0.9,11.6100000000001,11.9511000000001,0.00942066317667337
"truncation","alpha=2, n=10",2,10,0,NA,"Numerical grid",NA,50,0,0,0,0,NA,NA,NA,NA,0.86,NA,NA,1.51834369453254
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=100",100,50,0.034827358749058,0.00332166625198204,0.123968963540214,0.0350292375490095,0.0472034714969611,152.070406841792,0.878159806065345,0.330260908521168,0.86,1.47350000000006,1.84190000000035,1.4750881817434
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=1000",1000,50,0.0352837560599989,0.0038833885264734,0.138652069799727,0.0408801841115876,0.04713063725554,19.5403942568747,0.878591348122283,0.330309480322212,0.84,12.4024999999996,13.4789000000001,1.45523569084849
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=200",200,50,0.0359993099834798,0.00301885894729448,0.128775237676784,0.0294737033747681,0.0448949152502898,86.5948267892721,0.88047374093263,0.343815342261119,0.88,2.8150000000005,3.16340000000046,1.51058549231972
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=50",50,50,0.0315173038523663,0.00230992024855331,0.0965670852786936,0.0194347095773786,0.0463418201499537,272.331424789706,0.879077611089828,0.335438096372785,0.86,0.821500000000015,1.05239999999976,1.55128222959363
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=500",500,50,0.0328905140527548,0.00261033080935057,0.102850466802869,0.0162404891299901,0.0496326870051455,40.3307671545875,0.877100221699595,0.335995296210142,0.86,6.40750000000025,6.88809999999976,1.52723196310586
"truncation","alpha=2, n=50",2,50,0,NA,"Numerical grid",NA,50,0,0,0,0,NA,NA,NA,NA,0.96,NA,NA,0.125738871726347
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=100",100,50,0.0303736189261007,0.00226776064248226,0.0226746049541539,0.00199815970107833,0.0645235700370684,127.951843031148,0.852148344622923,0.213115365141449,0.96,2.49099999999953,2.86120000000028,0.122765568348291
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=1000",1000,50,0.0289586027327393,0.00232644063106139,0.0215908912621693,0.0024374884668911,0.0640991610126338,15.2783245533653,0.852966963810716,0.212666643135915,0.96,22.1084999999998,23.232,0.122035057713669
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=200",200,50,0.0272862399103789,0.00200364326493109,0.0203262598668675,0.00189234976557687,0.0624696393847664,71.7423426273653,0.853301126470597,0.217171772074429,0.96,4.85649999999987,5.1264000000001,0.121701065032578
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=50",50,50,0.0328870141193476,0.00220242665863009,0.025286999246588,0.00234042053553599,0.0632829654736005,251.187221785672,0.853286267798453,0.216878551070764,0.96,1.31800000000021,1.68739999999989,0.12327430055185
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=500",500,50,0.0273296133423299,0.00174311941073616,0.0215116641410352,0.00180269016679002,0.062333443996606,28.557733454207,0.856754813142449,0.228123348897688,0.96,11.6480000000001,12.05,0.130081405321051
"truncation","alpha=20, n=10",20,10,0,NA,"Numerical grid",NA,50,0,0,0,0,NA,NA,NA,NA,0.82,NA,NA,16.3401036024118
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=100",100,50,0.129336834000984,0.00995960602760713,4.37559410230329,0.611809737026241,0.00274510436363247,8.25258932803505,0.992516070864621,0.927226266333452,0.8,1.69050000000016,2.01140000000023,16.3585805155427
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=1000",1000,50,0.146843409320677,0.0129739979977539,5.26698584527847,0.864036541830696,0.0023743442114865,0.932683213019504,0.992926207375755,0.931338475172562,0.78,13.404,13.7096999999997,15.1340211845748
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=200",200,50,0.143063655486408,0.011104841962218,5.0013930231443,0.744443376024675,0.00290438736914302,5.24236615627694,0.992353616292461,0.926922938657809,0.8,2.98849999999993,3.27980000000025,15.5545666771898
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=50",50,50,0.144985312569097,0.0130335399551176,4.99899548027176,0.852865686115988,0.00277967215149464,14.1809744163303,0.992419800242425,0.926781672751934,0.8,1.00849999999946,1.25150000000021,15.7307540200816
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=500",500,50,0.131090954923488,0.00934645218965157,4.17495821857298,0.505718006074842,0.00286475625704823,2.2723242112244,0.992064992750104,0.922788604073074,0.76,6.93549999999959,7.29880000000003,14.6648362025359
"truncation","alpha=20, n=50",20,50,0,NA,"Numerical grid",NA,50,0,0,0,0,NA,NA,NA,NA,0.9,NA,NA,2.47663669422992
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=100",100,50,0.12267762589745,0.00976867002095455,1.1372610277406,0.111134825359494,0.00340855770756611,6.6221014267232,0.99108825531184,0.91548955007965,0.84,2.69399999999996,3.15859999999948,2.52619251584103
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=1000",1000,50,0.111010949315509,0.00950462552483247,1.03691427025266,0.10797297703418,0.00291887425676177,0.756952745828895,0.992340835845657,0.925435586012514,0.86,19.9900000000002,23.4856999999994,2.59179920540427
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=200",200,50,0.113327038722295,0.00819698701757706,1.13055507471203,0.105317903839658,0.00281467349278128,3.28237906932604,0.992334295943507,0.924958177439516,0.92,4.94350000000031,5.34410000000062,2.49389083451853
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=50",50,50,0.121793097592339,0.0104387004152327,1.18911895842723,0.134135814482961,0.00342343781712139,10.8437756811354,0.991438731574634,0.917507069879374,0.86,1.51800000000003,1.92879999999986,2.24607087130764
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=500",500,50,0.105079925432294,0.00648694140433634,0.993261623715291,0.0751375625265385,0.00335947291678435,1.60209947975834,0.991824775141064,0.920726472305755,0.86,11.3054999999999,12.1205000000005,2.73769489252782
